Inicio,Latitud,Longitud,Fin,,,Distancia
Av. Andres Tinoco 394 - Santiago de Surco 15039,-12.1432658,-76.9867402,Av. Aviacion 5092 - Santiago de Surco 15038,-12.1265825,-77.0005071,4.33
Av. Andres Tinoco 394 - Santiago de Surco 15039,-12.1432658,-76.9867402,Av. P. de la Republica 7883 - Santiago de Surco 15049,-12.1428674,-77.0009458,5.68
Av. Andres Tinoco 394 - Santiago de Surco 15039,-12.1432658,-76.9867402,Jiron Tacna 278 - Santiago de Surco 15086,-12.1441202,-77.0036859,3.39
Av. Andres Tinoco 394 - Santiago de Surco 15039,-12.1432658,-76.9867402,Jiron Batallon Callao Sur 187 - Santiago de Surco 15039,-12.1254622,-76.9836052,7.23
Jr. Morro Solar 110 - Santiago de Surco 15039,-12.1108149,-76.9789928,Marques de Guadalcazar 160 - Santiago de Surco 15049,-12.1408126,-76.9959465,6.89
Jr. Morro Solar 110 - Santiago de Surco 15039,-12.1108149,-76.9789928,Av. Andres Tinoco 394 - Santiago de Surco 15039,-12.1432658,-76.9867402,10.01
Jr. Morro Solar 110 - Santiago de Surco 15039,-12.1108149,-76.9789928,Av. Aviacion 5092 - Santiago de Surco 15038,-12.1265825,-77.0005071,8.00
Jr. Morro Solar 110 - Santiago de Surco 15039,-12.1108149,-76.9789928,Av. P. de la Republica 7883 - Santiago de Surco 15049,-12.1428674,-77.0009458,7.77
Jr. Morro Solar 110 - Santiago de Surco 15039,-12.1108149,-76.9789928,Jiron Tacna 278 - Santiago de Surco 15086,-12.1441202,-77.0036859,8.29
Jr. Morro Solar 110 - Santiago de Surco 15039,-12.1108149,-76.9789928,Jiron Batallon Callao Sur 187 - Santiago de Surco 15039,-12.1254622,-76.9836052,3.07
Av. Aviacion 5092 - Santiago de Surco 15038,-12.1265825,-77.0005071,Marques de Guadalcazar 160 - Santiago de Surco 15049,-12.1408126,-76.9959465,2.99
Av. Aviacion 5092 - Santiago de Surco 15038,-12.1265825,-77.0005071,Av. Andres Tinoco 394 - Santiago de Surco 15039,-12.1432658,-76.9867402,4.33
Av. Aviacion 5092 - Santiago de Surco 15038,-12.1265825,-77.0005071,Jr. Morro Solar 110 - Santiago de Surco 15039,-12.1108149,-76.9789928,5.33
Av. Aviacion 5092 - Santiago de Surco 15038,-12.1265825,-77.0005071,Av. P. de la Republica 7883 - Santiago de Surco 15049,-12.1428674,-77.0009458,6.52
Av. Aviacion 5092 - Santiago de Surco 15038,-12.1265825,-77.0005071,Jiron Tacna 278 - Santiago de Surco 15086,-12.1441202,-77.0036859,3.56
Av. Aviacion 5092 - Santiago de Surco 15038,-12.1265825,-77.0005071,Jiron Batallon Callao Sur 187 - Santiago de Surco 15039,-12.1254622,-76.9836052,6.78
Av. P. de la Republica 7883 - Santiago de Surco 15049,-12.1428674,-77.0009458,Marques de Guadalcazar 160 - Santiago de Surco 15049,-12.1408126,-76.9959465,2.16
Av. P. de la Republica 7883 - Santiago de Surco 15049,-12.1428674,-77.0009458,Av. Andres Tinoco 394 - Santiago de Surco 15039,-12.1432658,-76.9867402,4.26
Av. P. de la Republica 7883 - Santiago de Surco 15049,-12.1428674,-77.0009458,Jr. Morro Solar 110 - Santiago de Surco 15039,-12.1108149,-76.9789928,7.77
Av. P. de la Republica 7883 - Santiago de Surco 15049,-12.1428674,-77.0009458,Av. Aviacion 5092 - Santiago de Surco 15038,-12.1265825,-77.0005071,3.26
Av. P. de la Republica 7883 - Santiago de Surco 15049,-12.1428674,-77.0009458,Jiron Tacna 278 - Santiago de Surco 15086,-12.1441202,-77.0036859,1.21
Av. P. de la Republica 7883 - Santiago de Surco 15049,-12.1428674,-77.0009458,Jiron Batallon Callao Sur 187 - Santiago de Surco 15039,-12.1254622,-76.9836052,9.83
Jiron Tacna 278 - Santiago de Surco 15086,-12.1441202,-77.0036859,Marques de Guadalcazar 160 - Santiago de Surco 15049,-12.1408126,-76.9959465,1.68
Jiron Tacna 278 - Santiago de Surco 15086,-12.1441202,-77.0036859,Av. Andres Tinoco 394 - Santiago de Surco 15039,-12.1432658,-76.9867402,6.79
Jiron Tacna 278 - Santiago de Surco 15086,-12.1441202,-77.0036859,Jr. Morro Solar 110 - Santiago de Surco 15039,-12.1108149,-76.9789928,12.44
Jiron Tacna 278 - Santiago de Surco 15086,-12.1441202,-77.0036859,Av. Aviacion 5092 - Santiago de Surco 15038,-12.1265825,-77.0005071,5.35
Jiron Tacna 278 - Santiago de Surco 15086,-12.1441202,-77.0036859,Av. P. de la Republica 7883 - Santiago de Surco 15049,-12.1428674,-77.0009458,0.90
Jiron Tacna 278 - Santiago de Surco 15086,-12.1441202,-77.0036859,Jiron Batallon Callao Sur 187 - Santiago de Surco 15039,-12.1254622,-76.9836052,8.22
Jiron Batallon Callao Sur 187 - Santiago de Surco 15039,-12.1254622,-76.9836052,Marques de Guadalcazar 160 - Santiago de Surco 15049,-12.1408126,-76.9959465,3.94
Jiron Batallon Callao Sur 187 - Santiago de Surco 15039,-12.1254622,-76.9836052,Av. Andres Tinoco 394 - Santiago de Surco 15039,-12.1432658,-76.9867402,7.23
Jiron Batallon Callao Sur 187 - Santiago de Surco 15039,-12.1254622,-76.9836052,Jr. Morro Solar 110 - Santiago de Surco 15039,-12.1108149,-76.9789928,3.07
Jiron Batallon Callao Sur 187 - Santiago de Surco 15039,-12.1254622,-76.9836052,Av. Aviacion 5092 - Santiago de Surco 15038,-12.1265825,-77.0005071,5.08
